RadViz_X,RadViz_Y,Obj_DeltaW_BGA,Obj_DeltaW_bump,Obj_ELK_stress,Obj_Warpage_Post_UF_cure,Obj_Warpage_post_lid_atach,Bulk silicon thickness,Bump solder height,Cu-pillar pitch–diameter,Lid foot width,Lid thicknes,"Substrate core (E, CTE)",Substrate core thickness,"UF (E, CTE)",lid thickness,BGA solder material,Bump solder material,Cu-pillar bump solder material
0.17267077671313147,0.15912596621812383,0.00014735937293153256,0.0,5.0896735191345215,-0.030360382050275803,0.029057573527097702,0.25,0.06,0.125,3.0,1.5,3e-06,0.8,2e-05,1.0,SAC405,SAC105,SAC405
0.0817031549220547,-0.2670880660390889,0.004375634714961052,0.4271574318408966,8.83493423461914,-0.08197586983442307,0.023671887814998627,0.25,0.02,0.125,3.0,2.0,9e-06,0.4,3e-05,1.0,SAC405,SAC305,SAC405
0.10468517727331962,0.0122353917334788,0.0054947203025221825,0.29230520129203796,4.601984024047852,-0.03259385749697685,-0.0011533359065651894,0.75,0.06,0.125,3.0,2.0,9e-06,1.2,2.5e-05,1.5,SAC305,SAC105,SAC305
0.07554405469390596,0.04514648742061442,0.0,0.32073670625686646,4.419364929199219,-0.04153519868850708,0.05205204710364342,0.5,0.06,0.125,3.0,1.0,9e-06,0.8,3e-05,1.5,SAC105,SAC105,SAC405
0.08701945912642767,0.37791693616748434,0.008482541888952255,0.02323376014828682,4.995889663696289,-0.032501548528671265,0.17609506845474243,0.25,0.06,0.125,9.0,1.0,3e-06,0.8,2e-05,1.0,SAC305,SAC105,SAC405
0.06974120336858251,0.0026005192669925317,0.0017344338120892644,0.32917457818984985,4.54348611831665,-0.04394585266709328,0.026601413264870644,0.5,0.06,0.125,3.0,2.0,9e-06,0.8,2.5e-05,1.5,SAC305,SAC105,SAC405
0.2043071497198466,0.09586972290225283,0.008088191039860249,0.03476152941584587,7.484336853027344,-0.03901446983218193,0.041256632655858994,0.25,0.06,0.125,3.0,2.0,6e-06,0.8,2e-05,1.5,SAC205,SAC305,SAC305
0.3074444486756366,0.29922474242176605,0.009281991049647331,0.000768716970924288,9.345069885253906,-0.0362410806119442,0.16980943083763123,0.25,0.06,0.125,9.0,1.0,3e-06,0.8,2e-05,1.0,SAC305,SAC405,SAC305
0.3655158725466406,0.1423601835919395,0.0,0.0,8.937653541564941,-0.027951229363679886,0.06660480052232742,0.25,0.06,0.125,3.0,2.0,6e-06,1.2,2e-05,1.0,SAC205,SAC405,SAC105
0.21836970494351496,-0.060935501098386205,0.0,0.17946027219295502,7.594712257385254,-0.045418091118335724,-0.018557634204626083,0.75,0.06,0.125,9.0,2.0,9e-06,0.8,2e-05,1.5,SAC205,SAC305,SAC305
