Cu-pillar pitch–diameter,Bulk silicon thickness,Bump solder height,Substrate core thickness,"Substrate core (E, CTE)","UF (E, CTE)",Lid foot width,lid thickness,Cu-pillar bump solder material,BGA solder material,DeltaW_BGA,DeltaW_bump
0.125,0.75,0.02,1.2,6e-06,3e-05,9,1.0,SAC205,SAC105,0.3697366416454321,0.015227996511384899
0.125,0.25,0.04,1.2,6e-06,2.5e-05,3,1.0,SAC105,SAC105,0.168984591960907,0.00877762377785984
0.125,0.25,0.06,0.8,9e-06,3e-05,6,2.0,SAC105,SAC405,0.34960815310478194,0.0049947182124015
0.125,0.25,0.06,0.4,9e-06,3e-05,9,2.0,SAC205,SAC105,0.36109790951013593,0.00171596883956227
0.125,0.5,0.06,0.8,9e-06,3e-05,9,1.0,SAC305,SAC405,0.26775414496660305,0.0016228951898256102
0.125,0.75,0.02,1.2,3e-06,2e-05,6,2.0,SAC205,SAC105,0.16685375819603698,0.046025669202208505
0.125,0.5,0.06,0.4,3e-06,3e-05,3,1.5,SAC205,SAC205,0.41251301765441895,0.0444636372849346
0.125,0.25,0.04,0.4,3e-06,2.5e-05,3,2.0,SAC405,SAC205,0.280125759541988,0.034570156654808705
0.125,0.5,0.04,0.4,6e-06,2.5e-05,6,1.0,SAC405,SAC305,0.29651381075382205,0.008249263948528101
0.125,0.5,0.06,0.8,3e-06,3e-05,6,2.0,SAC205,SAC205,0.35799701511859905,0.0852814808022226
0.125,0.75,0.04,0.4,3e-06,2.5e-05,6,1.0,SAC105,SAC405,0.295208401978016,0.0036898158141411806
0.125,0.25,0.02,0.4,6e-06,2e-05,6,1.0,SAC205,SAC205,0.365336661537488,0.00679401945671994
0.125,0.75,0.04,1.2,3e-06,2.5e-05,6,1.0,SAC305,SAC305,0.13252238556742701,0.020479902101215003
0.125,0.75,0.02,1.2,6e-06,3e-05,3,1.5,SAC105,SAC305,0.56546175976594,0.005263253915472898
0.125,0.75,0.06,0.4,6e-06,3e-05,9,1.5,SAC405,SAC405,0.38439019769430105,0.0016508595144841794
0.125,0.75,0.04,0.4,6e-06,2.5e-05,9,1.5,SAC305,SAC205,0.354288935661316,0.002989489661558771
0.125,0.5,0.06,0.8,3e-06,3e-05,9,2.0,SAC205,SAC105,0.24418854713440002,0.0243662160355598
0.125,0.75,0.06,0.8,3e-06,2.5e-05,3,2.0,SAC405,SAC105,0.35146715492010094,0.249618496745825
0.125,0.5,0.04,0.4,6e-06,2.5e-05,6,1.5,SAC305,SAC205,0.34623341262340596,0.0033793371330830295
